company,email,,
Enbridge,webmaster-corp@enbridge.com,,
FLUOR Canada,media.relations@fluor.com,,
Bain,recruiting@bain.com,,
Suncor,degreen@suncor.com,,
McElhanney,calgary@mcelhanney.com,,
TransAlta,indigenous_relations@transalta.com,,
City of Calgary,IRO@calgary.ca,,
Alta Gas,media.relations@altagas.ca,,
Keyera Energy,careers@keyera.com,, 
Stantec,media@stantec.com,,
TD bank,tdreadycommitment@td.com,,
Trellis,communications@growwithtrellis.ca,,
Cenovus,local.community@cenovus.com,,
Urbans Systems Ltd.,calgary@urbansystems.ca,,
Thurber Engineering,calgary-manager@thurber.ca,,
Tetra Tech Canada,canada@tetratech.com,,
Eagle Engineering Corporation,admin@eagleengineering.ca,,
DIALOG,general@dialogdesign.ca,,
Dillon Consulting,cmoore@dillon.ca,,
Clifton Engineering,calgary@clifton.ca,,
Cenovus,local.community@cenovus.com,,
Ovintiv,general.inquiries@ovintiv.com,,
Chevron,CanadaMediaRelations@chevron.com,,
Siemens,cic.ca@siemens.com,,
Nova Chemicals,community@novachem.com,,
Plains Midstream,community.response@plainsmidstream.com,,
Syncrude,SyncrudeCI@suncor.com,,
SeisWare,info@seisware.com,,
Intuit,press-inquiries@intuit.com,,
